Title,Status,Price,Wishlist,Character,Series,Category,Manufacturer
Hu Tao Ghost Night Lamp (15x14cm) - Genshin Impact,Ready Stock,580000,1255,Hu Tao,Genshin Impact,Merchandise - Stationery,Mihoyo
Nendoroid Satoru Gojo - Jujutsu Kaisen,Ready Stock,950000,862,Satoru Gojo,Jujutsu Kaisen,Nendoroid,Good Smile Company
[Limited Production] Nendoroid Inumaki Toge - Jujutsu Kaisen,Ready Stock,690000,857,Inumaki Toge,Jujutsu Kaisen,Nendoroid,Good Smile Company
[REVIVE] LookUp Figure Gojo Satoru - Jujutsu Kaisen (11cm),Late Pre-Order,680000,702,Gojo Satoru,Jujutsu Kaisen,Lookup,MegaHouse
Nendoroid Denji - Chainsaw Man (Re-release),Ready Stock,720000,684,Denji,Chainsaw Man,Nendoroid,Good Smile Company
Jumpy Dumpty Klee Mug - Genshin Impact (360ml 11x15cm),Ready Stock,380000,675,Klee,Genshin Impact,Merchandise - Mug,Mihoyo
[Limited Production] Nendoroid Nanami Kento - Jujutsu Kaisen,Ready Stock,650000,599,Nanami Kento,Jujutsu Kaisen,Nendoroid,Good Smile Company
[Limited Production] Nendoroid Okkotsu Yuta - Jujutsu Kaisen 0 Ver.,Ready Stock,890000,580,Okkotsu Yuta,Jujutsu Kaisen,Nendoroid,Good Smile Company
Nendoroid Levi - Shingeki no Kyojin / Attack on Titan (Re-Release),Sold Out,760000,551,Levi,Shingeki no Kyojin,Nendoroid,Good Smile Company
Artist Master Piece Figure Hatsune Miku - Birthday 2021 Happy Cat Ver. (23cm),Ready Stock,480000,546,Vocaloid,Prize Figure,Taito,
Nendoroid Power - Chainsaw Man (Re-release),Ready Stock,660000,533,Power,Chainsaw Man,Nendoroid,Good Smile Company
Nendoroid Osamu Dazai Dark Era Ver. - Bungo / Bungou Stray Dogs,Ready Stock,530000,520,Osamu Dazai,Bungou Stray Dogs,Nendoroid,Orange Rouge
Nendoroid Izumi Miyamura - Horimiya,Sold Out,950000,508,Izumi Miyamura,Horimiya,Nendoroid,Good Smile Company
Nendoroid Anya Forger - SPY x FAMILY,Ready Stock,680000,488,Anya Forger,SPY x FAMILY,Nendoroid,Good Smile Company
Taroumaru Thoma Inazuma Plush - Genshin Impact,Ready Stock,500000,462,Taroumaru,Genshin Impact,Merchandise - Plush,Mihoyo
Pop Up Parade Figure Satoru Gojo - Jujutsu Kaisen,Sold Out,480000,453,Satoru Gojo,Jujutsu Kaisen,Pop Up Parade,Good Smile Company
"Raiden Shogun Figure - Statue of Her Excellency, the Almighty Narukami Ogosho, God of Thunder (11cm)",Ready Stock,800000,447,Raiden Shogun,Genshin Impact,Mini Figure,Mihoyo
LookUp / Rukappu Figure Yuji Itadori - Jujutsu Kaisen (11cm),Ready Stock,530000,425,Yuji Itadori,Yuji Itadori,Scaled Figure,MegaHouse
Nendoroid Hitori Gotoh - Bocchi the Rock!,Ready Stock,820000,416,Hitori Gotoh,Bocchi the Rock!,Nendoroid,Good Smile Company
PVC Figure Nanami Kento - Jujutsu Kaisen (18cm),Ready Stock,350000,408,Nanami Kento,Jujutsu Kaisen,Prize Figure,Taito
"Nendoroid Komi Shoko - Komi-san wa, Comyushou desu.",Ready Stock,640000,401,Komi Shoko,"Komi-san wa, Comyushou desu",Nendoroid,Good Smile Company
Nendoroid Ryomen Sukuna - Jujutsu Kaisen,Ready Stock,600000,395,Ryomen Sukuna,Jujutsu Kaisen,Nendoroid,Good Smile Company
Nendoroid Loid Forger - SPY x FAMILY,Ready Stock,680000,387,Loid Forger,SPY x FAMILY,Nendoroid,Good Smile Company
PVC Figure 1/7 Ganyu - Plenilune Gaze Ver. Genshin Impact,Ready Stock,2450000,386,Ganyu,Genshin Impact,Scaled Figure,APEX
Zhongli Rex Lapis / Morax Azhdaha BIG Plush (67cm) - Genshin Impact,Ready Stock,660000,382,Zhongli,Genshin Impact,Merchandise - Plush,Mihoyo
Nendoroid Yor Forger - SPY x FAMILY,Ready Stock,680000,376,Yor Forger,SPY x FAMILY,Nendoroid,Good Smile Company
[REVIVE] PVC Figure 1/7 Keqing - Driving Thunder Ver. Genshin Impact,Late Pre-Order,2650000,364,Keqing,Genshin Impact,Scaled Figure,APEX
Nendoroid Giyu Tomioka - Kimetsu no Yaiba (Re-Release),Ready Stock,890000,349,Giyu Tomioka,Kimetsu no Yaiba,Nendoroid,Good Smile Company
[Limited Production] Nendoroid Venti - Genshin Impact,Ready Stock,720000,347,Venti,Genshin Impact,Nendoroid,Good Smile Company
[Limited Production] Nendoroid Gojo Satoru - Jujutsu Kaisen 0 Ver.,Ready Stock,920000,342,Gojo Satoru,Jujutsu Kaisen,Nendoroid,Good Smile Company
[Limited Production] Nendoroid Kenma Kozume - Haikyuu!! (Re-Release),Ready Stock,950000,332,Kenma Kozume,Haikyuu!!,Nendoroid,Orange Rouge
Nendoroid Mikey / Sano Manjiro - Tokyo Revengers [Global Release Ver.],Ready Stock,670000,327,Manjiro Sano,Tokyo Revengers,Nendoroid,Orange Rouge
[FLASH PO] Nendoroid Yuji Itadori (Second Preorder Period),Sold Out,800000,318,Yuji Itadori,Jujutsu Kaisen,Nendoroid,Good Smile Company
Pop Up Parade Figure Nanami Kento - Jujutsu Kaisen,Ready Stock,490000,315,Nanami Kento,Jujutsu Kaisen,Pop Up Parade,Good Smile Company
LookUp / Rukappu Figure Megumi Fushiguro - Jujutsu Kaisen (11cm),Sold Out,680000,313,Megumi Fushiguro,Jujutsu Kaisen,Prize Figure,MegaHouse
[Rotating Base] Mini Figure Herta - Honkai Star Rail (14cm),Late Pre-Order,580000,312,Herta,Honkai: Star Rail,Mini Figure,APEX
Nendoroid Amiya - Arknights,Sold Out,820000,303,Amiya,Arknights,Nendoroid,Good Smile Arts Shanghai
Childe / Tartaglia Whale BIG Plush (70cm) - Genshin Impact,Ready Stock,680000,300,Childe,Genshin Impact,Merchandise - Plush,Mihoyo
Diluc Ragnvindr Theme Messenger Bag - Genshin Impact,Ready Stock,920000,295,Diluc,Genshin Impact,Merchandise - Apparel,Mihoyo
[REVIVE] Nendoroid Yu Nishinoya - The New Karasuno Ver.,Late Pre-Order,880000,293,Yu Nishinoya,Haikyuu!!,Nendoroid,Orange Rouge
PVC Figure 1/7 Mona Megistus - Astral Reflection Ver. Genshin Impact,Ready Stock,2750000,292,Mona,Genshin Impact,Scaled Figure,Wonderful Works
Nendoroid Nagi Seishiro - Blue Lock,Ready Stock,980000,290,Nagi Seishiro,Blue Lock,Nendoroid,Orange Rouge
PVC Figure 1/7 Ningguang - Hidden Moon Tianquan Ver.,Ready Stock,3950000,289,Ningguang,Genshin Impact,Scaled Figure,APEX
Coreful Figure Elaina - Majo no Tabitabi (20cm),Sold Out,450000,287,Elaina,Majo no Tabitabi,Prize Figure,Taito
Nendoroid Shinsuke Kita - Haikyuu!!,Sold Out,990000,286,Shinsuke Kita,Haikyuu!!,Nendoroid,Orange Rouge
[Limited Production] Nendoroid Gawr Gura - hololive production,Sold Out,1850000,285,Gawr Gura,Virtual Youtuber,Nendoroid,Good Smile Company Limited
Nendoroid Hoshimachi Suisei - hololive production,Ready Stock,940000,283,Hoshimachi Suisei,hololive production,Nendoroid,Good Smile Company
Premium Figure Hitori Gotoh - Bocchi The Rock (10cm),Ready Stock,420000,277,Hitori Gotoh,Bocchi The Rock,Prize Figure,SEGA
Hu Tao / Hutao Mini Figure Happy Shake (9cm) - Genshin Impact,Late Pre-Order,400000,277,Hu Tao,Genshin Impact,Mini Figure,APEX
[REVIVE] PVC Figure 1/7 Hatsune Miku - Cheongsam / Chinese / China Dress Ver.,Late Pre-Order,2950000,273,Hatsune Miku,Vocaloid,Scaled Figure,Myethos
Luminasta Figure Denji / Chainsaw Devil - Chainsaw Man (16cm),Ready Stock,450000,272,Chainsaw Devil,Chainsaw Man,Prize Figure,SEGA
[FLASH PO] PVC Figure 1/7 Megumi Kato - First Meeting Outfit Ver.,Sold Out,3100000,270,Megumi Kato,Saekano Saenai Heroine no Sodatekata,Scaled Figure,Good Smile Company
Nendoroid Zero Two - Darling in the FranXX (Re-Release),Ready Stock,640000,267,Zero Two,Darling in the FranXX,Nendoroid,Good Smile Company
Arknights Doctor Short Sleeve Hoodie (Size M),Sold Out,410000,266,Amiya,Arknights,Merchandise - Apparel,Tomorrow's Ark
[Limited Production] Nendoroid Kotaro Bokuto - Haikyuu!! (Re-Release),Ready Stock,690000,264,Kotaro Bokuto,Haikyu!!,Nendoroid,Orange Rouge
[Limited Production] Nendoroid Oikawa Toru - School Uniform Ver. (Re-Release),Ready Stock,660000,256,Oikawa Toru,Haikyuu!!,Nendoroid,Orange Rouge
Relax Time Figure Hoshimachi Suisei - Hololive If (15cm),Ready Stock,550000,257,Hoshimachi Suisei,Hololive,Prize Figure,Bandai Spirits
Pop Up Parade Figure Ayanami Rei - Long Hair Ver. Rebuild of Evangelion (Re-Release),Late Pre-Order,510000,254,Ayanami Rei,Evangelion,Pop Up Parade,Good Smile Company
Pop Up Parade Figure Shirakami Fubuki - Hololive Gamers,Sold Out,540000,254,Shirakami Fubuki,hololive production,Pop Up Parade,Good Smile Company
Nendoroid Shinobu Kocho - Kimetsu no Yaiba,Ready Stock,880000,250,Shinobu Kocho,Kimetsu no Yaiba,Nendoroid,Good Smile Company
Coreful Figure Elaina - Kimono / Wasou Ver. Majo no Tabitabi,Sold Out,420000,246,Elaina,Majo no Tabitabi,Prize Figure,Taito
Pop Up Parade Figure Inugami Korone - Hololive Gamers,Ready Stock,540000,245,Inugami Korone,hololive production,Pop Up Parade,Good Smile Company
Omanjuu Xiao Teyvat Zoo Theme Series - Genshin Impact,Ready Stock,250000,244,Xiao,Genshin Impact,Merchandise - Plush,Mihoyo
Nendoroid Shoto Todoroki - Stealth Suit Ver.,Ready Stock,770000,244,Shoto Todoroki,Boku no Hero Academia,Nendoroid,Good Smile Company
[Limited Production] Nendoroid Zenin / Zen'in Maki - Jujutsu Kaisen,Ready Stock,640000,243,Zenin Maki,Jujutsu Kaisen,Nendoroid,Good Smile Company
Artist Master Piece Figure Hatsune Miku - Latidos 2022 Ver. (21cm),Sold Out,390000,242,Hatsune Miku,Vocaloid,Prize Figure,Taito
Pop Up Parade Figure Houshou Marine - hololive production,Ready Stock,650000,241,Houshou Marine,hololive production,Pop Up Parade,Good Smile Company
[Limited Production] Nendoroid Traveler / Aether - Genshin Impact,Ready Stock,820000,240,Aether,Genshin Impact,Nendoroid,Good Smile Arts Shanghai
Nendoroid Gojo Satoru - High School Ver. Jujutsu Kaisen,Late Pre-Order,640000,240,Gojo Satoru,Jujutsu Kaisen,Nendoroid,Good Smile Company
Nendoroid Marin Kitagawa - Sono Bisque Doll wa Koi wo Suru,Ready Stock,740000,240,Marin Kitagawa,Sono Bisque Doll wa Koi wo Suru,Nendoroid,Good Smile Company
[Limited Production] Nendoroid Traveler / Lumine - Genshin Impact,Ready Stock,1320000,239,Lumine,Genshin Impact,Nendoroid,Good Smile Arts Shanghai
Wonderland Figure Hatsune Miku - Rapunzel (20cm),Ready Stock,490000,239,Hatsune Miku,Vocaloid,Prize Figure,Taito
[REVIVE] Shibuya Scramble Figure 1/7 Gojo Satoru - Jujutsu Kaisen,Late Pre-Order,2850000,237,Gojo Satoru,Jujutsu Kaisen,Scaled Figure,eStream
Premium Figure Anya Forger & Bond - SPY x FAMILY (16cm),Ready Stock,380000,236,Anya Forger,SPY x FAMILY,Prize Figure,SEGA
Premium Figure Yor Forger - SPY X FAMILY (19cm),Ready Stock,300000,235,Yor Forger,SPY x FAMILY,Prize Figure,SEGA
Pop Up Parade Figure Gawr Gura - hololive production,Ready Stock,720000,235,Gawr Gura,Hololive,Pop Up Parade,Good Smile Company
Artist Master Piece Figure Elaina - Majo no Tabitabi (20cm),Ready Stock,380000,235,Elaina,Majo no Tabitabi,Prize Figure,Taito
[with Shikishi & Postcard Bonus] Artbook Genshin Impact Illustration Book Collection Vol.1,Ready Stock,540000,234,Paimon,Genshin Impact,Merchandise - Stationery,Mihoyo
PVC Figure 1/7 Elysia - Miss Pink Maid Ver. Honkai Impact 3rd,Late Pre-Order,2850000,233,Elysia,Honkai Impact,Scaled Figure,APEX
[Limited Production] Redmi Airdots 3 Pro TWS Klee Ver. - Genshin Impact Chinese Voice Actor Ver.,Ready Stock,1550000,232,Klee,Genshin Impact,Digital Audio Player,Xiaomi
[Exclusive Sale] Nendoroid Elaina - Majo no Tabitabi,Ready Stock,1060000,232,Elaina,Majo no Tabitabi,Nendoroid,Good Smile Company
Luminasta Figure Kitagawa Marin - After School Ver. Sono Bisque Doll wa Koi wo Suru (18cm),Ready Stock,400000,230,Kitagawa Marin,Sono Bisque Doll wa Koi wo Suru,Prize Figure,SEGA
[Limited Production] Nendoroid Kozume Kenma - Second Uniform Ver.,Ready Stock,670000,229,Kozume Kenma,Haikyuu!!,Nendoroid,Orange Rouge
[REVIVE] PVC Figure 1/8 Raiden Mei - Herrscher of Thunder DX Ver.,Late Pre-Order,3950000,224,Raiden Mei,Honkai Impact 3,Scaled Figure,APEX
Nendoroid Kyojuro Rengoku - Kimetsu no Yaiba,Ready Stock,750000,223,Kyojuro Rengoku,Kimetsu no Yaiba,Nendoroid,Good Smile Company
Nendoroid Katsuki Bakugo - Winter Costume Ver.,Ready Stock,810000,222,Katsuki Bakugo,Boku no Hero Academia,Nendoroid,Good Smile Company
Pop Up Parade Figure Nekomata Okayu - Hololive Gamers,Ready Stock,490000,221,Nekomata Okayu,hololive production,Pop Up Parade,Good Smile Company
Super Premium Figure Okkotsu Yuta / Yuuta - Gekijouban Jujutsu Kaisen 0 (18cm),Ready Stock,380000,220,Okkotsu Yuuta,Jujutsu Kaisen,Prize Figure,SEGA
[REVIVE] Herrscher of Human:EGO Elysia Bluetooth Headset Earphone Model with Voice - Honkai Impact 3rd,Sold Out,1500000,218,Elysia,Honkai Impact 3rd,Merchandise - Digital Audio Player,Mihoyo
Nendoroid Swacchao! Tobio Kageyama - Haikyuu!!,Ready Stock,400000,217,Tobio Kageyama,Haikyuu!!,Nendoroid Swacchao!,Orange Rouge
Nendoroid Nezuko Kamado - Kimetsu no Yaiba (Re-Release),Ready Stock,820000,217,Nezuko Kamado,Kimetsu no Yaiba,Nendoroid,Good Smile Company
Pop Up Parade Figure Yukino Yukinoshita - Oregairu,Ready Stock,520000,215,Yukino Yukinoshita,Yahari Ore no Seishun Love Comedy wa Machigatteiru,Pop Up Parade,Good Smile Company
[Limited Production] Nendoroid Osamu Miya - Haikyuu [Re-Release],Ready Stock,580000,211,Osamu Miya,Haikyuu!!,Nendoroid,Orange Rouge
[REVIVE] LookUp / Rukappu Okkotsu Yuta - Jujutsu Kaisen (11cm),Sold Out,680000,211,Okkotsu Yuta,Jujutsu Kaisen,Lookup,MegaHouse
Nendoroid Katsuki Bakugo - Stealth Suit Ver.,Ready Stock,780000,210,Katsuki Bakugo,Boku no Hero Academia,Nendoroid,Good Smile Company
PVC Figure 1/7 Surtr - Magma Ver. Arknights,Ready Stock,3050000,209,Surtr,Arknights,Scaled Figure,Myethos
Electro Slime Tap & Slap Night Lamp (13cm) - Genshin Impact,Ready Stock,540000,206,Slime,Genshin Impact,Merchandise - Plush,Mihoyo
Nendoroid Katsuki Bakugo : Hero's Edition,Ready Stock,890000,205,Katsuki Bakugo,Boku no Hero Academia,Nendoroid,Good Smile Company
Nendoroid Himiko Toga - Boku no Hero Academia (Re-Release),Ready Stock,720000,205,Himiko Toga,Boku no Hero Academia,Nendoroid,Good Smile Company
Pop Up Parade Figure Albedo - Overlord,Ready Stock,600000,204,Albedo,Overlord,Pop Up Parade,Good Smile Company
Luminasta Figure Power & Nyaako - Chainsaw Man (22cm),Ready Stock,350000,203,Power,Chainsaw Man,Prize Figure,SEGA
[Limited Production] Nendoroid Vanitas - Vanitas no Carte,Ready Stock,950000,202,Vanitas,Vanitas no Carte,Nendoroid,Orange Rouge
Coreful Figure Power - Chainsaw Man (18cm),Ready Stock,390000,202,Power,Chainsaw Man,Prize Figure,Taito
Nendoroid Kozume Kenma,Sold Out,500000,200,Kozume Kenma,Haikyuu!!,Nendoroid,Good Smile Company
[REVIVE] PVC Figure 1/8 Kiana Kaslana - Herrscher of the Void Ver.,Late Pre-Order,3950000,199,Kiana Kaslana,Honkai Impact 3,Scaled Figure,ALTER
[REVIVE] Nendoroid Rimuru - Demon Lord Ver.,Late Pre-Order,1250000,199,Rimuru,Tensei Shitara Slime Datta ken,Nendoroid,Good Smile Company
Nendoroid Nakiri Ayame - hololive production,Ready Stock,740000,199,Nakiri Ayame,Hololive,Nendoroid,Good Smile Company
[FLASH PO] Nendoroid Tetsuro Kuroo - Haikyuu!! (Re-Release),Sold Out,880000,198,Tetsuro Kuroo,Haikyuu!!,Nendoroid,Orange Rouge
Nendoroid Yuji Itadori - Jujutsu Kaisen,Sold Out,880000,197,Yuji Itadori,Jujutsu Kaisen,Nendoroid,Good Smile Company
PVC Figure Miku Nakano - Kyunties (18cm),Ready Stock,320000,197,Miku Nakano,Gotoubun no Hanayome,Prize Figure,Bandai Spirits
Nendoroid Tanjiro Kamado - Kimetsu no Yaiba (Re-Release),Sold Out,760000,196,Tanjiro Kamado,Kimetsu no Yaiba,Nendoroid,Good Smile Company
[Limited Production] Nendoroid Atsumu Miya - Haikyuu [Re-Release],Ready Stock,590000,195,Atsumu Miya,Haikyuu!!,Nendoroid,Orange Rouge
[Exclusive Sale] Nendoroid Dan Heng - Honkai: Star Rail,Pre-Order,790000,195,Dan Heng,Honkai: Star Rail,Nendoroid,Good Smile Company
PVC Figure Amiya - Celebration Time Ver. (19cm),Late Pre-Order,750000,195,Amiya,Arknights,Scaled Figure,RIBOSE
[FLASH PO] Nendoroid Tobio Kageyama - Haikyuu!! (Re-Release),Sold Out,880000,194,Tobio Kageyama,Haikyuu!!,Nendoroid,Orange Rouge
[Limited Production] Nendoroid Keiji Akaashi - Haikyuu!! (Re-Release),Ready Stock,690000,194,Keiji Akaashi,Haikyu!!,Nendoroid,Orange Rouge
Cryo Abyss Mage Hooded Blanket (150x112cm) - Genshin Impact,Ready Stock,580000,193,Abyss Mage,Genshin Impact,Merchandise - Blanket,Mihoyo
[FLASH PO] Nendoroid Chuya Nakahara - Bungo / Bungou Stray Dogs (Re-Release),Late Pre-Order,740000,193,Chuya Nakahara,Bungou Stray Dogs,Nendoroid,Orange Rouge
Shueisha Jump Manga Jujutsu Kaisen Vol. 0 - Gege Akutami,Ready Stock,180000,192,Itadori Yuji,Jujutsu Kaisen,Japanese Manga,Shueisha
Nendoroid Yatora Yaguchi - Blue Period,Ready Stock,660000,191,Yatora Yaguchi,Blue Period,Nendoroid,Orange Rouge
Premium Figure Vladilena Milize / Lena - Bloody Regina Ver. (19cm),Sold Out,420000,191,Vladilena Milize,86 -Eighty Six-,Prize Figure,SEGA
Klee Dodoco Key Chain Plush (21cm) - Genshin Impact,Ready Stock,340000,191,Klee,Genshin Impact,Merchandise - Plush,Mihoyo
Nendoroid Joker / Ren Amamiya - Persona 5 (Re-Release),Ready Stock,650000,190,Ren Amamiya,Persona 5,Nendoroid,Good Smile Company
Nendoroid Osamu Dazai - Bungou Stray Dogs (Re-Release),Ready Stock,680000,189,Osamu Dazai,Bungou Stray Dogs,Nendoroid,Orange Rouge
[REVIVE] Nendoroid Todoroki Shoto : Hero's Edition,Late Pre-Order,680000,187,Todoroki Shoto,Boku no Hero Academia,Nendoroid,Good Smile Company
Nendoroid Hatsune Miku - Dare mo inai Sekai / Lonely / Empty SEKAI Ver. - Project SEKAI COLORFUL STAGE!,Ready Stock,720000,186,Hatsune Miku,Project SEKAI,Nendoroid,Good Smile Company
Arknights Penguin Logistics Texas Hoodie (Cek Keterangan untuk Size),Sold Out,530000,185,Cliffheart,Arknights,Merchandise - Apparel,Tomorrow's Ark
Nendoroid Killua Zoldyck - Hunter x Hunter (Re-Release),Ready Stock,680000,185,Killua Zoldyck,Hunter X Hunter,Nendoroid,Good Smile Company
Arknights Rhodes Island Stainless Steel Thermos Cup 500ml,Sold Out,280000,182,Amiya,Arknights,Merchandise - Stationery,Tomorrow's Ark
Premium Figure Yor Forger - Plain Clothes Ver. (19cm),Ready Stock,320000,182,Yor Forger,SPY x FAMILY,Prize Figure,SEGA
[With Bonus] PVC Figure 1/7 Ningguang - Hidden Moon Tianquan Ver.,Sold Out,3820000,181,Ningguang,Genshin Impact,Scaled Figure,APEX
Xiao Alatus Teyvat Zoo Series BIG Plush Mascot (45cm)- Genshin Impact,Ready Stock,680000,181,Xiao,Genshin Impact,Merchandise - Plush,Mihoyo
Nendoroid Kotaro Bokuto - School Uniform Haikyuu!,Sold Out,550000,181,Kotaro Bokuto,Haikyuu!!,Nendoroid,Orange Rouge
[REVIVE] PVC Figure 1/8 Kocho Shinobu - Kimetsu no Yaiba,Late Pre-Order,2750000,180,Kocho Shinobu,Kimetsu no Yaiba,Scaled Figure,ANIPLEX+
Nendoroid Miku Nakano - Gotoubun no Hanayome (Re-Release),Sold Out,720000,180,Miku Nakano,Gotoubun no Hanayome,Nendoroid,Good Smile Company
[JAPVER] PVC Figure Rimuru Tempest Demon Lord - Otherworlder Plus (15cm),Sold Out,720000,179,Rimuru,Tensei Shitara Slime Datta ken,Prize Figure,Bandai Spirits
[FLASH PO] PVC Figure 1/7 Kitagawa Marin - Sono Bisque Doll wa Koi wo Suru,Late Pre-Order,2750000,178,Kitagawa Marin,Sono Bisque Doll wa Koi wo Suru,Scaled Figure,ANIPLEX+
Coreful Figure Itsuki Nakano - Gotoubun no Hanayome ∬ (20cm),Ready Stock,350000,178,Itsuki Nakano,Gotoubun no Hanayome,Prize Figure,Taito
Nendoroid Kenma Kozume - School Uniform Haikyuu!,Sold Out,550000,177,Kenma Kozume,Haikyuu!!,Nendoroid,Orange Rouge
[REVIVE] Rozaliya / Fervent Tempo Δ AUGMENT CORE Sneakers Model (Size 41 / 42) - Honkai Impact 3rd,Late Pre-Order,980000,177,Rozaliya Olenyeva,Honkai Impact 3rd,Merchandise - Stationery,Mihoyo
Childe Whale Night Lamp with Humidifier (17cm) - Genshin Impact,Ready Stock,560000,177,Tartaglia,Genshin Impact,Merchandise - Miscellaneous,Mihoyo
[Limited Production] Nendoroid Geto Suguru - Jujutsu Kaisen 0 Ver.,Ready Stock,920000,177,Geto Suguru,Jujutsu Kaisen,Nendoroid,Good Smile Company
[REVIVE] Super Premium Figure Hatsune Miku - Dare mo inai sekai no Hatsune Miku / Unmanned / Empty Sekai Ver. (18cm),Late Pre-Order,480000,177,Hatsune Miku,Vocaloid,Prize Figure,SEGA
Pop Up Parade Figure Saber Alter - Fate/stay night [Heaven's Feel],Sold Out,520000,176,Saber Alter,Fate,Pop Up Parade,Max Factory
Wonderland Figure Hatsune Miku - Sleeping Beauty Ver. (20cm),Ready Stock,380000,176,Hatsune Miku,Vocaloid,Prize Figure,Taito
[Limited Production] Nendoroid Kuroo Tetsuro - Second Uniform Ver.,Ready Stock,670000,175,Kuroo Tetsuro,Haikyuu!!,Nendoroid,Orange Rouge
Coreful Figure Shiina Mahiru - School Uniform Ver. (18cm),Ready Stock,380000,175,Shiina Mahiru,Otonari no Tenshi-sama ni Itsunomanika Dame Ningen ni Sareteita Ken,Prize Figure,Taito
[Limited Production] Nendoroid Chifuyu Matsuno - Tokyo Revengers [Global Release Ver.],Ready Stock,680000,173,Chifuyu Matsuno,Tokyo Revengers,Nendoroid,Orange Rouge
Nendoroid Sabito - Kimetsu no Yaiba,Ready Stock,840000,173,Sabito,Kimetsu no Yaiba,Nendoroid,Good Smile Company
LookUp Figure Seishirou Nagi - Blue Lock (Re-Release),Late Pre-Order,510000,173,Seishirou Nagi,Blue Lock,Lookup,MegaHouse
Nendoroid Daisuke Kambe - Fugou Keiji Balance Unlimited,Sold Out,1300000,172,Daisuke Kambe,Fugou Keiji Balance Unlimited,Nendoroid,Orange Rouge
[REVIVE] PVC Figure 1/7 Elaina - Majo no Tabitabi,Late Pre-Order,2850000,170,Elaina,Majo no Tabitabi,Scaled Figure,F:NEX
Zhongli Metal Bracelet - Genshin Impact,Ready Stock,210000,170,Zhongli,Genshin Impact,Merchandise - Stationery,Mihoyo
Nendoroid Nobara Kugisaki - Jujutsu Kaisen,Ready Stock,850000,169,Nobara Kugisaki,Jujutsu Kaisen,Nendoroid,Good Smile Company
Servant Figure Saber / Miyamoto Musashi (18cm),Ready Stock,380000,169,Miyamoto Musashi,Fate,Scaled Figure,FuRyu
PVC Figure 1/6 Albedo - so-bin Ver. Overlord,Ready Stock,2850000,169,Albedo,Overlord,Scaled Figure,Union Creative
Nendoroid Mafumafu (Hikikomori Set) - Mafumafu,Ready Stock,1150000,169,Mafumafu,Mafumafu,Nendoroid,Good Smile Company
Pop Up Parade Figure Chainsaw Devil - Chainsaw Man,Ready Stock,580000,169,Denji,Chainsaw Man,Pop Up Parade,Good Smile Company
Nendoroid Hayakawa Aki - Chainsaw Man,Ready Stock,700000,169,Aki Hayakawa,Chainsaw Man,Nendoroid,Good Smile Company
Nendoroid Nino Nakano - Gotoubun no Hanayome,Ready Stock,640000,168,Nino Nakano,Gotoubun no Hanayome,Nendoroid,Good Smile Company
[REVIVE] PVC Figure 1/7 Rider / Altria Pendragon [Alter],Late Pre-Order,3250000,167,Altria Pendragon,Fate,Scaled Figure,AMAKUNI
Pop Up Parade Figure Shiro - Crown Ver.,Ready Stock,500000,167,Shiro,No Game No Life,Pop Up Parade,Good Smile Company
PVC Figure 1/7 Hatsuaki / Shoshuu SWAV Japanese Style TechGear Original Character Illustration by SWAV,Ready Stock,2950000,167,Shoshu,Original Character,Scaled Figure,Wings
Pop Up Parade Figure Black Rock Shooter,Sold Out,520000,167,Black Rock Shooter,Black Rock Shooter,Pop Up Parade,Good Smile Company
Nendoroid Chrollo Lucilfer - HUNTER x HUNTER,Ready Stock,680000,166,Chrollo Lucilfer,Hunter X Hunter,Nendoroid,Good Smile Company
Noodle Stopper Figure Hatsune Miku - Love Sailor (13cm),Sold Out,380000,165,Hatsune Miku,Vocaloid,Prize Figure,FuRyu
Pop Up Parade Figure Nakiri Ayame - hololive production,Ready Stock,700000,165,Nakiri Ayame,Pop Up Parade,Pop Up Parade,Max Factory
LookUp / Rukappu Figure Inumaki Toge - Jujutsu Kaisen (11cm),Sold Out,880000,165,Inumaki Toge,Jujutsu Kaisen,Lookup,MegaHouse
[REVIVE] FZO Figuarts Zero Satoru Gojo - Jujutsu Kaisen (18cm),Sold Out,990000,165,Satoru Gojo,Jujutsu Kaisen,FZO,Bandai Spirits
Pom-Pom Plush - Honkai: Star Rail (24cm),Late Pre-Order,640000,164,Pom-Pom,Honkai: Star Rail,Merchandise - Plush,Mihoyo
Nendoroid Nishikigi Chisato - LycoReco Lycoris Recoil,Sold Out,780000,164,Chisato Nishikigi,Lycoris Recoil,Nendoroid,Good Smile Company
"Nendoroid Ninym Ralei - Tensai Ouji no Akaji Kokka Saisei Jutsu ~Souda, Baikoku Shiyou~",Ready Stock,760000,162,Ninym Ralei,"Tensai Ouji no Akaji Kokka Saisei Jutsu ~Souda, Baikoku Shiyou~",Nendoroid,Good Smile Company
[With Bonus] PVC Figure 1/7 Ganyu - Plenilune Gaze Ver. Genshin Impact,Ready Stock,2550000,162,Ganyu,Genshin Impact,Scaled Figure,APEX
figma Saber Alter 2.0 - Fate,Sold Out,1180000,161,Saber,Fate,figma,Max Factory
Nendoroid Senku Ishigami - Dr.Stone (Re-Release),Ready Stock,600000,161,Senku Ishigami,Dr.Stone,Nendoroid,Good Smile Company
[Limited Production] Nendoroid Sasuke Uchiha - Naruto (Re-Release),Ready Stock,590000,161,Sasuke Uchiha,Naruto,Nendoroid,Good Smile Company
