Title,Status,Price,Wishlist,Character,Series,Category,Manufacturer
Pop Up Parade Figure Chocola - Nekopara (Re-Release),Sold Out,530000,106,Chocola,Nekopara,Pop Up Parade,Good Smile Company
Bronya Zaychik/Herrscher of Reason Gamepad - Honkai Impact 3rd,Ready Stock,1550000,106,Bronya Zaychik,Honkai Impact 3rd,Merchandise - Stationery,Mihoyo
[REVIVE] PVC Figure 1/7 Himeko Murata - Vermillion Knight Ver.,Late Pre-Order,3950000,106,Murata Himeko,Honkai Impact 3,Scaled Figure,APEX
Nendoroid Kusaka Kabane - Kemono Jihen,Sold Out,720000,106,Kusaka Kabane,Kemono Jihen,Nendoroid,Orange Rouge
PVC Figure 1/7 Paimon - Genshin Impact (Re-Release),Ready Stock,780000,106,Paimon,Genshin Impact,Scaled Figure,APEX
Coreful Figure Sakurajima Mai - Fuyufuku Ver. (18cm),Ready Stock,380000,106,Sakurajima Mai,Seishun Buta Yarou wa Bunny Girl Senpai no Yume wo Minai,Prize Figure,Taito
Coreful Figure Albedo - Overlord Knit Onepiece Ver. (19cm),Ready Stock,420000,105,Albedo,Overlord,Prize Figure,Taito
Luminasta Figure Kitagawa Marin - Swimsuit Ver. / First Measurements (19cm),Ready Stock,350000,105,Kitagawa Marin,Sono Bisque Doll wa Koi wo Suru,Prize Figure,SEGA
PVC Figure 1/7 Kosaka Wakamo - Blue Archive,Pre-Order,3400000,105,Kosaka Wakamo,Blue Archive,Scaled Figure,NEONMAX
Pop Up Parade Figure Asuna - Sword Art Online Progressive,Ready Stock,500000,105,Asuna,Sword Art Online,Pop Up Parade,Good Smile Company
[REVIVE] PVC Figure 1/7 Texas - Elite 2,Late Pre-Order,3450000,104,Texas,Arknights,Scaled Figure,Good Smile Arts Shanghai
PVC Figure 1/4 Taihou - Renbo no Companion Ver. Azur Lane,Ready Stock,6600000,104,Taihou,Azur Lane,Scaled Figure,Mimeyoi
Rozaliya / Fervent Tempo Δ AUGMENT CORE Hoodie - Honkai Impact 3rd (Size XXXL),Ready Stock,740000,104,Rozaliya Olenyeva,Honkai Impact 3rd,Merchandise - Hoodie,Mihoyo
Noodle Stopper Figure Hatsune Miku - Flower Fairy Nemophilia Ver. (15cm),Ready Stock,350000,104,Hatsune Miku,Vocaloid,Prize Figure,FuRyu
Artist Master Piece Figure Hatsune Miku - Princess Arabian Ver. (21cm),Late Pre-Order,300000,104,Hatsune Miku,Vocaloid,Prize Figure,Taito
